club_id,club_name,league_url,league_name
103,AC Milan,UEFA.CHAMPIONS,UEFA Champions League
139,Ajax Amsterdam,UEFA.CHAMPIONS,UEFA Champions League
105,Atalanta,UEFA.CHAMPIONS,UEFA Champions League
1068,Atletico Madrid,UEFA.CHAMPIONS,UEFA Champions League
83,Barcelona,UEFA.CHAMPIONS,UEFA Champions League
132,Bayern Munich,UEFA.CHAMPIONS,UEFA Champions League
1895,Besiktas,UEFA.CHAMPIONS,UEFA Champions League
124,Borussia Dortmund,UEFA.CHAMPIONS,UEFA Champions League
363,Chelsea,UEFA.CHAMPIONS,UEFA Champions League
570,Club Brugge,UEFA.CHAMPIONS,UEFA Champions League
440,Dynamo Kiev,UEFA.CHAMPIONS,UEFA Champions League
437,FC Porto,UEFA.CHAMPIONS,UEFA Champions League
110,Internazionale,UEFA.CHAMPIONS,UEFA Champions League
111,Juventus,UEFA.CHAMPIONS,UEFA Champions League
166,Lille,UEFA.CHAMPIONS,UEFA Champions League
364,Liverpool,UEFA.CHAMPIONS,UEFA Champions League
382,Manchester City,UEFA.CHAMPIONS,UEFA Champions League
360,Manchester United,UEFA.CHAMPIONS,UEFA Champions League
160,Paris Saint-Germain ,UEFA.CHAMPIONS,UEFA Champions League
86,Real Madrid,UEFA.CHAMPIONS,UEFA Champions League
243,Sevilla,UEFA.CHAMPIONS,UEFA Champions League
493,Shakhtar Donetsk,UEFA.CHAMPIONS,UEFA Champions League
614,Sheriff Tiraspol,UEFA.CHAMPIONS,UEFA Champions League
138,VfL Wolfsburg,UEFA.CHAMPIONS,UEFA Champions League
102,Villarreal,UEFA.CHAMPIONS,UEFA Champions League
174,AS Monaco,UEFA.EUROPA,UEFA Europa League
131,Bayer Leverkusen,UEFA.EUROPA,UEFA Europa League
575,Brøndby,UEFA.EUROPA,UEFA Europa League
256,Celtic,UEFA.EUROPA,UEFA Europa League
597,Dinamo Zagreb,UEFA.EUROPA,UEFA Europa League
125,Eintracht Frankfurt,UEFA.EUROPA,UEFA Europa League
572,FC Midtjylland,UEFA.EUROPA,UEFA Europa League
436,Fenerbahce,UEFA.EUROPA,UEFA Europa League
432,Galatasaray,UEFA.EUROPA,UEFA Europa League
112,Lazio,UEFA.EUROPA,UEFA Europa League
555,Legia Warsaw,UEFA.EUROPA,UEFA Europa League
375,Leicester City,UEFA.EUROPA,UEFA Europa League
442,Lokomotiv Moscow,UEFA.EUROPA,UEFA Europa League
167,Lyon,UEFA.EUROPA,UEFA Europa League
176,Marseille,UEFA.EUROPA,UEFA Europa League
114,Napoli,UEFA.EUROPA,UEFA Europa League
435,Olympiakos,UEFA.EUROPA,UEFA Europa League
148,PSV Eindhoven,UEFA.EUROPA,UEFA Europa League
257,Rangers,UEFA.EUROPA,UEFA Europa League
519,Rapid Vienna,UEFA.EUROPA,UEFA Europa League
244,Real Betis,UEFA.EUROPA,UEFA Europa League
89,Real Sociedad,UEFA.EUROPA,UEFA Europa League
433,Sparta Prague,UEFA.EUROPA,UEFA Europa League
371,West Ham United,UEFA.EUROPA,UEFA Europa League
598,1. FC Union Berlin,UEFA.EUROPA.CONF,UEFA Europa Conference League
104,AS Roma,UEFA.EUROPA.CONF,UEFA Europa Conference League
140,AZ Alkmaar,UEFA.EUROPA.CONF,UEFA Europa Conference League
2550,Anorthosis,UEFA.EUROPA.CONF,UEFA Europa Conference League
2980,Bodo/Glimt,UEFA.EUROPA.CONF,UEFA Europa Conference League
5260,CFR Cluj-Napoca,UEFA.EUROPA.CONF,UEFA Europa Conference League
989,FC Basel,UEFA.EUROPA.CONF,UEFA Europa Conference League
909,FC Copenhagen,UEFA.EUROPA.CONF,UEFA Europa Conference League
142,Feyenoord Rotterdam,UEFA.EUROPA.CONF,UEFA Europa Conference League
502,HJK Helsinki,UEFA.EUROPA.CONF,UEFA Europa Conference League
7922,Jablonec,UEFA.EUROPA.CONF,UEFA Europa Conference League
3611,KAA Gent,UEFA.EUROPA.CONF,UEFA Europa Conference League
2528,Kairat Almaty,UEFA.EUROPA.CONF,UEFA Europa Conference League
4411,LASK Linz,UEFA.EUROPA.CONF,UEFA Europa Conference League
611,Maccabi Haifa,UEFA.EUROPA.CONF,UEFA Europa Conference League
524,Maccabi Tel-Aviv,UEFA.EUROPA.CONF,UEFA Europa Conference League
617,Omonia Nicosia,UEFA.EUROPA.CONF,UEFA Europa Conference League
605,PAOK Salonika,UEFA.EUROPA.CONF,UEFA Europa Conference League
541,Partizan Belgrade,UEFA.EUROPA.CONF,UEFA Europa Conference League
3132,Randers FC,UEFA.EUROPA.CONF,UEFA Europa Conference League
494,Slavia Prague,UEFA.EUROPA.CONF,UEFA Europa Conference League
521,Slovan Bratislava,UEFA.EUROPA.CONF,UEFA Europa Conference League
169,Stade Rennais,UEFA.EUROPA.CONF,UEFA Europa Conference League
367,Tottenham Hotspur,UEFA.EUROPA.CONF,UEFA Europa Conference League
154,Vitesse,UEFA.EUROPA.CONF,UEFA Europa Conference League
359,Arsenal,ENG.1,English Premier League
362,Aston Villa,ENG.1,English Premier League
337,Brentford,ENG.1,English Premier League
331,Brighton & Hove Albion,ENG.1,English Premier League
379,Burnley,ENG.1,English Premier League
363,Chelsea,ENG.1,English Premier League
384,Crystal Palace,ENG.1,English Premier League
368,Everton,ENG.1,English Premier League
357,Leeds United,ENG.1,English Premier League
375,Leicester City,ENG.1,English Premier League
364,Liverpool,ENG.1,English Premier League
382,Manchester City,ENG.1,English Premier League
360,Manchester United,ENG.1,English Premier League
361,Newcastle United,ENG.1,English Premier League
381,Norwich City,ENG.1,English Premier League
376,Southampton,ENG.1,English Premier League
367,Tottenham Hotspur,ENG.1,English Premier League
395,Watford,ENG.1,English Premier League
371,West Ham United,ENG.1,English Premier League
380,Wolverhampton Wanderers,ENG.1,English Premier League
18418,Atlanta United FC,USA.1,Major League Soccer
9720,CF Montréal,USA.1,Major League Soccer
182,Chicago Fire FC,USA.1,Major League Soccer
184,Colorado Rapids,USA.1,Major League Soccer
183,Columbus Crew,USA.1,Major League Soccer
193,DC United,USA.1,Major League Soccer
18267,FC Cincinnati,USA.1,Major League Soccer
185,FC Dallas,USA.1,Major League Soccer
6077,Houston Dynamo FC,USA.1,Major League Soccer
187,LA Galaxy,USA.1,Major League Soccer
18966,LAFC,USA.1,Major League Soccer
17362,Minnesota United FC,USA.1,Major League Soccer
18986,Nashville SC,USA.1,Major League Soccer
189,New England Revolution,USA.1,Major League Soccer
17606,New York City FC,USA.1,Major League Soccer
190,New York Red Bulls,USA.1,Major League Soccer
12011,Orlando City SC,USA.1,Major League Soccer
10739,Philadelphia Union,USA.1,Major League Soccer
9723,Portland Timbers,USA.1,Major League Soccer
4771,Real Salt Lake,USA.1,Major League Soccer
191,San Jose Earthquakes,USA.1,Major League Soccer
9726,Seattle Sounders FC,USA.1,Major League Soccer
186,Sporting Kansas City,USA.1,Major League Soccer
7318,Toronto FC,USA.1,Major League Soccer
9727,Vancouver Whitecaps,USA.1,Major League Soccer
96,Alavés,ESP.1,Spanish LaLiga
93,Athletic Bilbao,ESP.1,Spanish LaLiga
1068,Atletico Madrid,ESP.1,Spanish LaLiga
83,Barcelona,ESP.1,Spanish LaLiga
85,Celta Vigo,ESP.1,Spanish LaLiga
3842,Cádiz,ESP.1,Spanish LaLiga
3751,Elche,ESP.1,Spanish LaLiga
88,Espanyol,ESP.1,Spanish LaLiga
2922,Getafe,ESP.1,Spanish LaLiga
3747,Granada,ESP.1,Spanish LaLiga
1538,Levante,ESP.1,Spanish LaLiga
84,Mallorca,ESP.1,Spanish LaLiga
97,Osasuna,ESP.1,Spanish LaLiga
101,Rayo Vallecano,ESP.1,Spanish LaLiga
244,Real Betis,ESP.1,Spanish LaLiga
86,Real Madrid,ESP.1,Spanish LaLiga
89,Real Sociedad,ESP.1,Spanish LaLiga
243,Sevilla,ESP.1,Spanish LaLiga
94,Valencia,ESP.1,Spanish LaLiga
102,Villarreal,ESP.1,Spanish LaLiga
598,1. FC Union Berlin,GER.1,German Bundesliga
2506,Arminia Bielefeld,GER.1,German Bundesliga
131,Bayer Leverkusen,GER.1,German Bundesliga
132,Bayern Munich,GER.1,German Bundesliga
124,Borussia Dortmund,GER.1,German Bundesliga
268,Borussia Monchengladbach,GER.1,German Bundesliga
125,Eintracht Frankfurt,GER.1,German Bundesliga
3841,FC Augsburg,GER.1,German Bundesliga
122,FC Cologne,GER.1,German Bundesliga
129,Hertha Berlin,GER.1,German Bundesliga
2950,Mainz,GER.1,German Bundesliga
11420,RB Leipzig,GER.1,German Bundesliga
126,SC Freiburg,GER.1,German Bundesliga
3070,SpVgg Greuther Furth,GER.1,German Bundesliga
7911,TSG Hoffenheim,GER.1,German Bundesliga
134,VfB Stuttgart,GER.1,German Bundesliga
121,VfL Bochum,GER.1,German Bundesliga
138,VfL Wolfsburg,GER.1,German Bundesliga
103,AC Milan,ITA.1,Italian Serie A
104,AS Roma,ITA.1,Italian Serie A
105,Atalanta,ITA.1,Italian Serie A
107,Bologna,ITA.1,Italian Serie A
2925,Cagliari,ITA.1,Italian Serie A
2574,Empoli,ITA.1,Italian Serie A
109,Fiorentina,ITA.1,Italian Serie A
3263,Genoa,ITA.1,Italian Serie A
119,Hellas Verona,ITA.1,Italian Serie A
110,Internazionale,ITA.1,Italian Serie A
111,Juventus,ITA.1,Italian Serie A
112,Lazio,ITA.1,Italian Serie A
114,Napoli,ITA.1,Italian Serie A
3240,Salernitana,ITA.1,Italian Serie A
2734,Sampdoria,ITA.1,Italian Serie A
3997,Sassuolo,ITA.1,Italian Serie A
4056,Spezia,ITA.1,Italian Serie A
239,Torino,ITA.1,Italian Serie A
118,Udinese,ITA.1,Italian Serie A
17530,Venezia,ITA.1,Italian Serie A
174,AS Monaco,FRA.1,French Ligue 1
7868,Angers,FRA.1,French Ligue 1
159,Bordeaux,FRA.1,French Ligue 1
6997,Brest,FRA.1,French Ligue 1
3171,Clermont Foot,FRA.1,French Ligue 1
175,Lens,FRA.1,French Ligue 1
166,Lille,FRA.1,French Ligue 1
273,Lorient,FRA.1,French Ligue 1
167,Lyon,FRA.1,French Ligue 1
176,Marseille,FRA.1,French Ligue 1
177,Metz,FRA.1,French Ligue 1
274,Montpellier,FRA.1,French Ligue 1
165,Nantes,FRA.1,French Ligue 1
2502,Nice,FRA.1,French Ligue 1
160,Paris Saint-Germain ,FRA.1,French Ligue 1
178,Saint-Etienne,FRA.1,French Ligue 1
169,Stade Rennais,FRA.1,French Ligue 1
3243,Stade de Reims,FRA.1,French Ligue 1
180,Strasbourg,FRA.1,French Ligue 1
170,Troyes,FRA.1,French Ligue 1
2737,Albacete,ESP.COPA_DEL_REY,Spanish Copa del Rey
5535,Badajoz,ESP.COPA_DEL_REY,Spanish Copa del Rey
18338,CD Calahorra,ESP.COPA_DEL_REY,Spanish Copa del Rey
17890,CD Ebro,ESP.COPA_DEL_REY,Spanish Copa del Rey
8807,Cacereno,ESP.COPA_DEL_REY,Spanish Copa del Rey
8447,Córdoba,ESP.COPA_DEL_REY,Spanish Copa del Rey
16741,Extremadura UD,ESP.COPA_DEL_REY,Spanish Copa del Rey
8977,Gernika Club,ESP.COPA_DEL_REY,Spanish Copa del Rey
6825,Gimnastica Segoviana,ESP.COPA_DEL_REY,Spanish Copa del Rey
6858,Guijuelo,ESP.COPA_DEL_REY,Spanish Copa del Rey
17572,Leioa,ESP.COPA_DEL_REY,Spanish Copa del Rey
20223,Linares Deportivo,ESP.COPA_DEL_REY,Spanish Copa del Rey
7041,Peña Sport,ESP.COPA_DEL_REY,Spanish Copa del Rey
5428,Talavera,ESP.COPA_DEL_REY,Spanish Copa del Rey
9553,Teruel,ESP.COPA_DEL_REY,Spanish Copa del Rey
12594,UCAM Murcia,ESP.COPA_DEL_REY,Spanish Copa del Rey
8070,Velez Mostar,ESP.COPA_DEL_REY,Spanish Copa del Rey
349,AFC Bournemouth,ENG.2,English League Championship
397,Barnsley,ENG.2,English League Championship
392,Birmingham City,ENG.2,English League Championship
365,Blackburn Rovers,ENG.2,English League Championship
346,Blackpool,ENG.2,English League Championship
333,Bristol City,ENG.2,English League Championship
347,Cardiff City,ENG.2,English League Championship
388,Coventry City,ENG.2,English League Championship
374,Derby County,ENG.2,English League Championship
370,Fulham,ENG.2,English League Championship
335,Huddersfield Town,ENG.2,English League Championship
306,Hull City,ENG.2,English League Championship
301,Luton Town,ENG.2,English League Championship
369,Middlesbrough,ENG.2,English League Championship
391,Millwall,ENG.2,English League Championship
393,Nottingham Forest,ENG.2,English League Championship
342,Peterborough United,ENG.2,English League Championship
394,Preston North End,ENG.2,English League Championship
334,Queens Park Rangers,ENG.2,English League Championship
338,Reading,ENG.2,English League Championship
398,Sheffield United,ENG.2,English League Championship
336,Stoke City,ENG.2,English League Championship
318,Swansea City,ENG.2,English League Championship
383,West Bromwich Albion,ENG.2,English League Championship
308,Bristol Rovers,ENG.FA,English FA Cup
322,Carlisle United,ENG.FA,English FA Cup
320,Cheltenham Town,ENG.FA,English FA Cup
339,Colchester United,ENG.FA,English FA Cup
275,Dagenham & Redbridge,ENG.FA,English FA Cup
279,Doncaster Rovers,ENG.FA,English FA Cup
324,Exeter City,ENG.FA,English FA Cup
312,FC Halifax Town,ENG.FA,English FA Cup
282,Forest Green Rovers,ENG.FA,English FA Cup
323,Hartlepool United,ENG.FA,English FA Cup
319,Kidderminster Harriers,ENG.FA,English FA Cup
309,Leyton Orient,ENG.FA,English FA Cup
314,Lincoln City,ENG.FA,English FA Cup
304,Mansfield Town,ENG.FA,English FA Cup
278,Morecambe,ENG.FA,English FA Cup
332,Oldham Athletic,ENG.FA,English FA Cup
311,Oxford United,ENG.FA,English FA Cup
307,Plymouth Argyle,ENG.FA,English FA Cup
303,Rochdale,ENG.FA,English FA Cup
313,Scunthorpe United,ENG.FA,English FA Cup
302,Shrewsbury Town,ENG.FA,English FA Cup
310,Southend United,ENG.FA,English FA Cup
285,Stevenage,ENG.FA,English FA Cup
284,Yeovil Town,ENG.FA,English FA Cup
315,York City,ENG.FA,English FA Cup
331,Brighton & Hove Albion,ENG.LEAGUE_CUP,English Carabao Cup
333,Bristol City,ENG.LEAGUE_CUP,English Carabao Cup
308,Bristol Rovers,ENG.LEAGUE_CUP,English Carabao Cup
322,Carlisle United,ENG.LEAGUE_CUP,English Carabao Cup
320,Cheltenham Town,ENG.LEAGUE_CUP,English Carabao Cup
279,Doncaster Rovers,ENG.LEAGUE_CUP,English Carabao Cup
324,Exeter City,ENG.LEAGUE_CUP,English Carabao Cup
